status,obj,fixed_is,fixed_gv,trans_l1,trans_l2,proc_cost,num_open_is,num_open_gv,kappa
Optimal,56916731.39567223,14100000.0,15400000.0,2638584.8288673614,3608546.5668048705,21169600.0,6,2,0.75
Optimal,53761975.14403696,10600000.0,15400000.0,3555691.9462758563,3036683.1977611133,21169600.0,5,2,1.0
Optimal,51868310.40072348,8700000.0,15400000.0,3839723.62334571,2758986.777377761,21169600.0,4,2,1.25
Optimal,50611875.96226415,7400000.0,15400000.0,3762561.5728780613,2879714.3893860825,21169600.0,3,2,1.5
Optimal,49290723.31151178,6600000.0,15400000.0,3209892.1503516375,2911231.161160132,21169600.0,3,2,2.0
