status,obj,fixed_is,fixed_gv,trans_l1,trans_l2,proc_cost,num_open_is,num_open_gv,beta
Optimal,48461975.14403696,5300000.0,15400000.0,3555691.9462758563,3036683.1977611133,21169600.0,5,2,0.5
Optimal,51111975.14403696,7950000.0,15400000.0,3555691.9462758563,3036683.1977611133,21169600.0,5,2,0.75
Optimal,53761975.14403696,10600000.0,15400000.0,3555691.9462758563,3036683.1977611133,21169600.0,5,2,1.0
Optimal,59061975.14403698,15900000.0,15400000.0,3555691.9462758563,3036683.1977611133,21169600.0,5,2,1.5
Optimal,64361975.14403698,21200000.0,15400000.0,3555691.9462758563,3036683.1977611133,21169600.0,5,2,2.0
Optimal,74961975.14403698,31800000.0,15400000.0,3555691.9462758563,3036683.1977611133,21169600.0,5,2,3.0
