num_leaves,learning_rate,max_depth,feature_fraction,bagging_fraction,bagging_freq,min_data_in_leaf,f1_mean,f1_std,logloss_mean,logloss_std,best_iters
127,0.05,-1,0.7,0.8,5,40,0.9122343144514975,0.019286587057915996,0.2176765025002932,0.04309702532524657,"[79, 64, 82, 115, 81]"
31,0.03,8,0.9,0.9,5,40,0.9108705252182971,0.017826890184696017,0.21936340879036514,0.04252524423677837,"[141, 114, 175, 124, 125]"
63,0.03,10,0.85,0.9,5,30,0.9104599433153012,0.01660009377161652,0.22134586717633123,0.04633508102341095,"[131, 114, 144, 135, 138]"
63,0.05,-1,0.8,0.8,5,30,0.9075305186668825,0.013231771173102884,0.22105347896615699,0.04402890130502998,"[78, 55, 83, 104, 85]"
15,0.08,6,0.9,0.9,3,20,0.9069840036748685,0.017773302684591916,0.22554794649049398,0.04869672038732613,"[44, 33, 53, 73, 54]"
31,0.05,-1,0.9,0.9,5,20,0.904520193723639,0.020269658121889897,0.23112857868855136,0.04751896505135641,"[55, 54, 85, 67, 95]"
