uke,D_t,Detaljist,Grossist,Distributor,Fabrikk
1,101.21151756934064,233.40021795326106,365.5889183371815,432.18870038392043,432.18870038392043
2,103.88688433041793,0.0,0.0,129.31095716356907,0.0
3,102.17535959361426,197.45468789218813,254.43605019752562,378.01719454960204,369.409638517758
4,100.19427252665132,0.0,0.0,0.0,0.0
5,103.40729354145294,197.75543619112193,191.9093063141396,186.06317643715727,180.21704656017494
6,101.67299380742564,0.0,0.0,0.0,0.0
7,107.7858254946982,214.83091751015502,220.20301571818618,225.57511392621734,230.9472121342485
8,114.93091488670923,132.71416787606285,150.49742086541647,168.2806738547701,186.06392684412373
9,106.39352766377544,0.0,0.0,0.0,0.0
10,106.24778792775446,205.25354632656394,197.86577706159795,190.47800779663197,183.090238531666
11,112.1586284251865,120.00557141811379,127.85251441104106,135.69945740396832,143.5464003968956
12,111.71152378178084,115.40731560557379,119.10310742936673,122.79889925315968,126.49469107695262
13,110.52707124498949,110.36787911715686,110.20868698932424,110.04949486149161,109.89030273365898
14,105.27474851743952,0.0,0.0,0.0,0.0
15,109.56315906194415,210.4262698932664,206.01463220714913,201.60299452103186,197.1913568349146
16,112.82667839914559,118.53959681983304,124.2525152405205,129.96543366120795,135.6783520818954
17,102.13348752010668,0.0,0.0,0.0,0.0
18,105.94175985373546,197.7269687614898,187.3786901491374,177.03041153678504,166.68213292443266
19,97.9789937827068,0.0,0.0,0.0,0.0
20,100.18353788348307,184.7543175520079,171.34610343782592,157.9378893236439,144.5296752094619
21,96.4719722783529,0.0,0.0,0.0,0.0
22,103.47177606506428,193.90753498730157,187.871321631186,181.8351082750704,175.79889491895483
23,97.20881646320683,0.0,0.0,0.0,0.0
24,103.74947843698409,198.67718578483448,196.39607666947808,194.11496755412168,191.83385843876528
25,101.98912223567436,0.0,0.0,0.0,0.0
26,99.06534527685022,196.160527288989,191.2665870654534,186.3726468419178,181.4787066183822
27,86.21083464334421,0.0,0.0,0.0,0.0
28,94.91337887789125,165.80394738687943,150.4836812525234,135.1634151181674,119.84314898381137
29,96.2114464025693,0.0,0.0,0.0,0.0
30,95.91931320957886,187.33818269464192,182.54560577713565,177.75302885962938,172.96045194212311
31,86.66867370516147,0.0,0.0,0.0,0.0
32,90.9800070374224,166.44753233524375,155.2463839279036,144.04523552056344,132.84408711322328
33,87.62229712800578,0.0,0.0,0.0,0.0
34,87.72597514393544,165.56156465476192,155.7748570375826,145.98814942040326,136.20144180322393
35,96.44993286039829,105.58672280304171,114.72351274568513,123.86030268832855,132.99709263097196
36,86.61216419648636,0.0,0.0,0.0,0.0
37,90.12797330101188,167.64741554934648,158.55469360119474,149.461971653043,140.36924970489127
38,94.49486059593534,99.95913201265608,105.42340342937683,110.88767484609758,116.35194626281833
39,87.08199783628349,0.0,0.0,0.0,0.0
40,89.51440151109867,168.91227108529242,161.22814282320266,153.5440145611129,145.85988629902315
41,90.84290254198689,90.57480422535127,90.30670590871568,0.0,0.0
42,90.96874644442116,90.8566047557868,90.74446306715242,180.67092897059814,180.29068896532817
43,85.02016061137944,0.0,0.0,0.0,0.0
44,92.15086249294846,177.01142610674873,176.85182910916956,176.69223211159039,176.5326351140112
45,99.30900962699667,114.54792006317905,129.78683049936143,145.0257409355438,160.2646513717262
46,85.63305002694963,0.0,0.0,0.0,0.0
47,138.61626597279644,300.1912237442599,376.1331314887737,452.0750392332875,456.5841576600167
48,135.94953840804524,180.70159419813888,125.20308196133664,120.69396353460746,0.0
49,133.24659915903854,254.38153790087222,395.9598721504174,522.2205841650481,522.2205841650481
50,147.60892608883654,184.6656141825262,178.63502234323488,0.0,0.0
51,142.6059317578703,212.966701694584,403.55759180663705,518.2065741741762,567.2191300366841
52,134.00355548947388,0.0,0.0,0.0,0.0
53,101.57794794641055,198.16953627542944,160.75756911497444,0.0,0.0
54,105.27660456122649,0.0,0.0,0.0,0.0
55,102.6021382436716,164.15968582865418,120.44062885241027,200.06717383068582,118.93614969398692
56,108.0617830564137,0.0,0.0,0.0,0.0
57,105.34806086656448,186.79286267162473,160.1758814202713,133.5589001689179,0.0
58,109.96746438657959,0.0,0.0,0.0,0.0
59,114.67772043999177,221.15254313494535,217.6599014433193,214.16725975169328,317.6165369776317
60,104.85152740390829,0.0,0.0,0.0,0.0
61,109.87025330848014,203.05721277912716,191.3926448458659,179.72807691260465,168.0635089793434
62,107.03362454416208,0.0,0.0,0.0,0.0
63,110.34576023038967,213.04309670668363,208.70680863881552,204.3705205709474,200.0342325030793
64,103.99111610172983,0.0,0.0,0.0,0.0
65,107.10349201748663,203.08909839244615,195.08358866567585,187.07807893890555,179.07256921213525
66,108.94610887695805,109.75150263724947,110.55689639754087,111.36229015783226,112.16768391812366
67,114.20323753476256,123.97089240340654,133.73854727205048,143.50620214069443,153.27385700933837
68,115.07627246412481,122.3568617571699,129.63745105021496,136.91804034326003,144.1986296363051
