num_leaves,learning_rate,max_depth,feature_fraction,bagging_fraction,bagging_freq,min_data_in_leaf,rmse_mean,rmse_std,best_iters
31,0.05,-1,0.9,0.9,5,20,20.408433830956884,4.765053018909791,"[795, 800, 800, 193]"
63,0.05,-1,0.8,0.8,5,20,20.458032624461538,4.2504495694162605,"[457, 800, 699, 165]"
63,0.03,10,0.85,0.9,3,30,20.891367468471596,4.546385549267451,"[800, 797, 711, 456]"
31,0.03,8,0.9,0.9,5,30,20.950389406883275,4.556491936668614,"[798, 799, 800, 796]"
127,0.05,-1,0.7,0.8,5,40,21.958707206449308,5.176536936145762,"[271, 631, 230, 235]"
127,0.03,10,0.75,0.8,5,50,22.71868473919804,5.548196360121943,"[796, 791, 230, 200]"
