total_cost,holding_cost,expedite_cost,lost_sales_cost
313507.0785500423,96553.84834828808,216953.2302017542,0.0
497423.59325976414,193537.52590499513,303886.06735476904,0.0
272222.7425652322,107101.45912841646,165121.28343681578,0.0
81694.76634713505,81694.76634713505,0.0,0.0
274604.22801331256,84945.7962364672,189658.4317768454,0.0
97163.90696889695,97163.90696889695,0.0,0.0
103598.0246546438,103598.0246546438,0.0,0.0
435386.70426005917,134449.81628333766,300936.8879767215,0.0
102091.04515173078,102091.04515173078,0.0,0.0
86540.26411526372,86540.26411526372,0.0,0.0
343917.69810350524,99909.25437925056,244008.4437242547,0.0
91583.40847673858,91583.40847673858,0.0,0.0
90465.08223496682,90465.08223496682,0.0,0.0
173491.26187818262,112005.37922868894,0.0,61485.88264949369
111656.28945929694,111656.28945929694,0.0,0.0
364598.62833678187,117747.80361094994,238826.61363374884,8024.211092083078
116990.12114018174,116990.12114018174,0.0,0.0
96892.34277076425,96892.34277076425,0.0,0.0
100120.90473564352,100120.90473564352,0.0,0.0
330668.1451611824,117964.15776019327,212703.9874009891,0.0
92721.88032398546,92721.88032398546,0.0,0.0
88025.80583261882,88025.80583261882,0.0,0.0
210282.1705216807,113344.74083625643,0.0,96937.42968542427
324638.4159440129,101387.61624425558,223250.7996997573,0.0
399008.7530938938,136516.4364577118,262492.316636182,0.0
353952.43437617645,97072.49967918578,256879.93469699068,0.0
115213.18927571469,115213.18927571469,0.0,0.0
878858.9776783194,200397.32883047863,535113.8550817398,143347.793766101
85014.8895698355,85014.8895698355,0.0,0.0
110695.51559482582,110695.51559482582,0.0,0.0
123490.64641025742,106614.29676553856,0.0,16876.349644718863
395217.19051089115,105582.20465968044,289634.9858512107,0.0
364503.23583869264,100297.43643614912,195497.9462920762,68707.85311046735
90088.03474126561,90088.03474126561,0.0,0.0
216251.87871970813,85448.31440231924,130803.56431738887,0.0
675911.5823228057,159273.72958043293,303772.4797271198,212865.373015253
375450.8939959961,115439.05971801939,202600.83791288116,57410.996365095554
363699.55464890215,121583.59207794839,242115.9625709538,0.0
101925.75253873889,101925.75253873889,0.0,0.0
99710.5603149056,99710.5603149056,0.0,0.0
218889.44847788964,72509.45057311833,146379.99790477133,0.0
112180.13054406332,112180.13054406332,0.0,0.0
120168.56419886966,120168.56419886966,0.0,0.0
224658.23525286227,92915.33261468897,0.0,131742.9026381733
311446.03291440464,106543.42448169117,204902.6084327135,0.0
107682.96854727688,107682.96854727688,0.0,0.0
111992.8746397463,111992.8746397463,0.0,0.0
206530.73400118388,110589.93771392891,0.0,95940.79628725497
313030.5499705548,112625.140331241,200405.40963931382,0.0
88970.16619713165,88970.16619713165,0.0,0.0
266488.6251803204,104197.62077306556,0.0,162291.00440725486
371558.96564502834,108758.1034537488,262622.805029032,178.05716224751365
453337.4829683253,164306.80077760978,274373.33051244746,14657.351678268118
721802.8491653572,205996.96894599733,515805.8802193599,0.0
371644.2218103144,112708.4937370346,258935.72807327978,0.0
462336.9121444687,162289.95893683983,300046.95320762886,0.0
101339.125035999,101339.125035999,0.0,0.0
90063.13854392098,90063.13854392098,0.0,0.0
92134.74490244991,88270.17851073197,0.0,3864.566391717939
85290.83793616483,85290.83793616483,0.0,0.0
508448.5093910534,174837.6790130597,300255.0817968347,33355.74858115901
114965.95047786337,114965.95047786337,0.0,0.0
104616.23124258399,91519.76385242604,0.0,13096.46739015795
877638.8547396534,167834.6090152453,239983.67971756816,469820.56600684
978285.3280103842,240770.28810073793,551956.5193869101,185558.5205227362
95507.80722672524,95507.80722672524,0.0,0.0
395850.6753416455,133092.66824018944,262758.00710145605,0.0
96157.3871889157,96157.3871889157,0.0,0.0
448250.403877636,149651.73689327616,298598.66698435985,0.0
100350.4601459916,100350.4601459916,0.0,0.0
108732.06363601932,108732.06363601932,0.0,0.0
124366.8098515875,124366.8098515875,0.0,0.0
446315.5943989235,156127.83318515623,290187.7612137673,0.0
150035.57193408714,110620.50377724625,0.0,39415.068156840905
96504.5411056435,96504.5411056435,0.0,0.0
386965.04299580853,117909.20561654816,269055.83737926034,0.0
96006.41972248782,96006.41972248782,0.0,0.0
293162.66097209055,108401.19601091862,184761.46496117194,0.0
118027.73479963379,118027.73479963379,0.0,0.0
340001.54136008583,111546.83858224795,218592.3930919164,9862.309685921464
92693.30346120524,92693.30346120524,0.0,0.0
365904.1836345472,119099.38787244399,246804.79576210325,0.0
129759.1539221546,95498.61261250512,0.0,34260.54130964948
422512.28827969887,148240.00225722272,274272.28602247615,0.0
94548.09407091141,94548.09407091141,0.0,0.0
727021.141304078,177977.87771540307,549043.263588675,0.0
336595.7964049341,100522.66279302302,236073.13361191106,0.0
198010.57284177694,118133.18666915702,0.0,79877.38617261994
91102.9445195421,91102.9445195421,0.0,0.0
1045042.075057159,191684.87282207445,583745.5285053119,269611.6737297726
378264.7906617173,122506.22019442756,255758.5704672897,0.0
459278.8120674625,164277.04856800073,0.0,295001.76349946175
514583.17991036276,142917.03843573597,371666.1414746268,0.0
560553.8979773696,188899.8983230849,304901.275195664,66752.7244586206
105681.9867592728,105681.9867592728,0.0,0.0
100538.79400791007,100538.79400791007,0.0,0.0
92446.59143729051,92446.59143729051,0.0,0.0
410861.7487719621,136722.41452722234,274139.3342447398,0.0
282869.8797972157,102790.13233967914,180079.74745753655,0.0
716401.2188028283,192174.57422500933,276052.6117746877,248174.03280313124
83102.47744410312,83102.47744410312,0.0,0.0
119189.55891127906,119189.55891127906,0.0,0.0
83857.9665521163,83857.9665521163,0.0,0.0
361357.1767376432,130394.62463300882,230962.5521046344,0.0
95384.99785325564,95384.99785325564,0.0,0.0
